کارکرد,مدل (سال تولید),رنگ,برند و تیپ,نوع سوخت,وضعیت موتور,وضعیت شاسی‌ها,وضعیت بدنه,مهلت بیمهٔ شخص ثالث,گیربکس,قیمت پایه,شاسی جلو,شاسی عقب,نمایشگاه,نوع آگهی,مایل به معاوضه,حداقل مبلغ پیش‌پرداخت,مبلغ هر قسط,تعداد اقساط,فروشنده
۱۶۵٬۰۰۰,۱۳۸۹,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,۳۰۰٬۰۰۰٬۰۰۰ تومان,,,,فروشی,هستم,,,,
۲۲۰٬۰۰۰,۱۳۹۱,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,رنگ‌شدگی,۵ ماه,دنده‌ای,۲۸۵٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۱۶٬۰۰۰,۱۴۰۱,خاکستری,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,رنگ‌شدگی,۷ ماه,دنده‌ای,۴۲۰٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۳۵۰٬۰۰۰,۱۳۸۳,نقره‌ای,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,خط و خش جزیی,۸ ماه,دنده‌ای,۱۸۵٬۰۰۰٬۰۰۰ تومان,,,,فروشی,,,,,
۱۳٬۷۰۰,۱۴۰۰,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,۴۵۰٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۴۳٬۰۰۰,۱۳۹۷,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۲ ماه,دنده‌ای,۳۸۵٬۰۰۰٬۰۰۰ تومان,,,,فروشی,,,,,
۸۲٬۰۰۰,۱۳۹۶,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,دنده‌ای,۳۵۵٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۲۶۰٬۰۰۰,۱۳۸۹,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,رنگ‌شدگی,۷ ماه,دنده‌ای,۲۴۵٬۰۰۰٬۰۰۰ تومان,,,,,هستم,,,,
۹٬۰۰۰,۱۴۰۱,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,۴۸۰٬۰۰۰٬۰۰۰ تومان,,,,فروشی,,,,,
۱۲۳٬۴۵۶,۱۳۸۲,مشکی,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,۲۱۹٬۰۰۰٬۰۰۰ تومان,,,,فروشی,,,,,
۶۵٬۰۰۰,۱۳۹۹,سفید,پژو 206 تیپ ۲,بنزینی,سالم,,خط و خش جزیی,۵ ماه,دنده‌ای,۴۴۰٬۰۰۰٬۰۰۰ تومان,سالم و پلمپ,رنگ‌شده,,,,,,,
۳۵٬۰۰۰,۱۳۹۹,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,۴۳۵٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۱۴۵٬۰۰۰,۱۳۹۶,خاکستری,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,دنده‌ای,۳۴۸٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
